,track_id,genre_top
0,2,Hip-Hop
1,3,Hip-Hop
2,5,Hip-Hop
3,10,Pop
4,20,Nan
5,26,Nan
6,30,Nan
7,46,Nan
8,48,Nan
9,134,Hip-Hop
10,135,Rock
11,136,Rock
12,137,Experimental
13,138,Experimental
14,139,Folk
15,140,Folk
16,141,Folk
17,142,Folk
18,144,Jazz
19,145,Jazz
20,146,Jazz
21,147,Jazz
22,148,Experimental
23,149,Experimental
24,150,Experimental
25,151,Rock
26,152,Rock
27,153,Rock
28,154,Rock
29,155,Rock
30,156,Experimental
31,157,Experimental
32,158,Experimental
33,159,Experimental
34,160,Experimental
35,161,Experimental
36,162,Experimental
37,163,Experimental
38,164,Experimental
39,165,Experimental
40,166,Experimental
41,167,Experimental
42,168,Experimental
43,169,Rock
44,170,Rock
45,171,Rock
46,172,Rock
47,173,Rock
48,174,Rock
49,175,Rock
50,176,Rock
51,177,Rock
52,178,Rock
53,179,Rock
54,181,Rock
55,182,Rock
56,183,Rock
57,184,Rock
58,185,Nan
59,188,Folk
60,189,Folk
61,190,Folk
62,191,Folk
63,192,Folk
64,193,Folk
65,194,Folk
66,195,Folk
67,196,Folk
68,197,Folk
69,198,Folk
70,199,Folk
71,200,Folk
72,201,Folk
73,202,Folk
74,203,Folk
75,204,Folk
76,205,Folk
77,206,Folk
78,207,Folk
79,208,Folk
80,209,Folk
81,210,Folk
82,211,Folk
83,212,Folk
84,213,Pop
85,226,Rock
86,228,Rock
87,236,Nan
88,237,Jazz
89,238,Jazz
90,246,Nan
91,247,Rock
92,248,Nan
93,249,Rock
94,250,Nan
95,251,Nan
96,252,Rock
97,253,Nan
98,254,Nan
99,255,Rock
100,256,Rock
101,257,Rock
102,258,Rock
103,273,Experimental
104,274,Experimental
105,275,Experimental
106,276,Experimental
107,277,Experimental
108,281,Experimental
109,282,Experimental
110,284,Experimental
111,285,Experimental
112,293,Experimental
113,294,Experimental
114,297,Experimental
115,300,Experimental
116,303,Rock
117,304,Rock
118,305,Rock
119,306,Rock
120,307,Rock
121,308,Rock
122,309,Rock
123,310,Rock
124,311,Rock
125,312,Rock
126,313,Rock
127,314,Rock
128,315,Rock
129,316,Rock
130,317,Rock
131,318,Rock
132,319,Rock
133,320,Rock
134,321,Rock
135,322,Rock
136,323,Rock
137,324,Rock
138,325,Rock
139,326,Rock
140,327,Rock
141,328,Rock
142,330,Rock
143,331,Rock
144,332,Rock
145,333,Rock
146,334,Rock
147,335,Rock
148,336,Rock
149,337,Rock
150,338,Rock
151,339,Rock
152,340,Rock
153,341,Rock
154,342,Rock
155,343,Rock
156,344,Rock
157,345,Rock
158,346,Rock
159,347,Rock
160,348,Rock
161,349,Rock
162,350,Rock
163,351,Rock
164,352,Rock
165,353,Rock
166,354,Rock
167,355,Rock
168,356,Rock
169,357,Rock
170,358,Rock
171,359,Rock
172,360,Rock
173,361,Rock
174,362,Rock
175,363,Rock
176,364,Rock
177,365,Rock
178,366,Rock
179,367,Rock
180,368,Rock
181,369,Rock
182,370,Rock
183,371,Rock
184,384,Electronic
185,385,Electronic
186,386,Electronic
187,387,Electronic
188,393,Rock
189,394,Rock
190,395,Rock
191,396,Electronic
192,397,Electronic
193,398,Electronic
194,399,Electronic
195,400,Electronic
196,401,Electronic
197,402,Electronic
198,403,Electronic
199,404,Electronic
200,405,Electronic
201,406,Electronic
202,407,Electronic
203,408,Electronic
204,410,Electronic
205,411,Electronic
206,412,Electronic
207,414,Electronic
208,416,Electronic
209,417,Experimental
210,418,Nan
211,419,Experimental
212,420,Nan
213,421,Experimental
214,422,Nan
215,423,Nan
216,424,Experimental
217,425,Experimental
218,426,Experimental
219,427,Experimental
220,428,Experimental
221,429,Experimental
222,430,Experimental
223,431,Experimental
224,432,Experimental
225,433,Experimental
226,434,Experimental
227,435,Experimental
228,436,Experimental
229,437,Experimental
230,438,Experimental
231,439,Experimental
232,440,Nan
233,441,Nan
234,442,Nan
235,443,Nan
236,444,Nan
237,445,Nan
238,446,Nan
239,447,Nan
240,448,Nan
241,449,Nan
242,450,Nan
243,451,Nan
244,452,Nan
245,458,Rock
246,459,Rock
247,461,Nan
248,462,Nan
249,463,Nan
250,464,Nan
251,465,Nan
252,466,Rock
253,467,Rock
254,468,Rock
255,469,Rock
256,470,Rock
257,471,Rock
258,472,Rock
259,473,Rock
260,474,Rock
261,475,Rock
262,476,Rock
263,477,Rock
264,478,Rock
265,479,Rock
266,480,Rock
267,481,Rock
268,482,Rock
269,483,Rock
270,484,Rock
271,485,Rock
272,486,Rock
273,487,Rock
274,489,Rock
275,490,Rock
276,491,Rock
277,492,Rock
278,493,Rock
279,495,Rock
280,496,Rock
281,497,Rock
282,498,Rock
283,500,Rock
284,501,Rock
285,502,Rock
286,503,Rock
287,504,Rock
288,506,Rock
289,507,Rock
290,508,Rock
291,509,Rock
292,510,Rock
293,511,Rock
294,512,Rock
295,513,Rock
296,514,Rock
297,515,Rock
298,516,Rock
299,517,Rock
300,520,Rock
301,521,Rock
302,522,Rock
303,523,Rock
304,524,Rock
305,525,Rock
306,526,Rock
307,527,Rock
308,528,Rock
309,529,Rock
310,530,Rock
311,531,Rock
312,532,Electronic
313,533,Electronic
314,534,Folk
315,535,Folk
316,536,Folk
317,537,Folk
318,538,Folk
319,539,Folk
320,540,Folk
321,541,Folk
322,542,Folk
323,543,Folk
